BAIF_FM2_STATION_ID_1279_PERIOD_JULY012017_OCT012017 DEPTH_SENSOR_ID=3835 UNIT=M,
1/1/2018 14:15,0.07125
1/1/2018 14:20,0.071439
1/1/2018 14:25,0.064408
1/1/2018 14:30,0.06412
1/1/2018 14:35,0.067219
1/1/2018 14:40,0.067058
1/1/2018 14:45,0.06659
1/1/2018 14:50,0.06658
1/1/2018 14:55,0.066059
1/1/2018 15:00,0.06573
1/1/2018 15:05,0.06515
1/1/2018 15:10,0.06504
1/1/2018 15:15,0.06369
1/1/2018 15:20,0.06361
1/1/2018 15:25,0.066169
1/1/2018 15:30,0.06597
1/1/2018 15:35,0.064588
1/1/2018 15:40,0.065599
1/1/2018 15:45,0.065088
1/1/2018 15:50,0.06176
1/1/2018 15:55,0.063739
1/1/2018 16:00,0.064059
1/1/2018 16:05,0.06375
1/1/2018 16:10,0.06233
1/1/2018 16:15,0.06551
1/1/2018 16:20,0.06543
1/1/2018 16:25,0.065669
1/1/2018 16:30,0.065408
1/1/2018 16:35,0.0653
1/1/2018 16:40,0.06218
1/1/2018 16:45,0.062
1/1/2018 16:50,0.063459
1/1/2018 16:55,0.06436
1/1/2018 17:00,0.065698
1/1/2018 17:05,0.065989
1/1/2018 17:10,0.066059
1/1/2018 17:15,0.070359
1/1/2018 17:20,0.06995
1/1/2018 17:25,0.06954
1/1/2018 17:30,0.068799
1/1/2018 17:35,0.065158
1/1/2018 17:40,0.064959
1/1/2018 17:45,0.064908
1/1/2018 17:50,0.06462
1/1/2018 17:55,0.06576
1/1/2018 18:00,0.06914
1/1/2018 18:05,0.069549
1/1/2018 18:10,0.07068
1/1/2018 18:15,0.06979
1/1/2018 18:20,0.07057
1/1/2018 18:25,0.07323
1/1/2018 18:30,0.07179
1/1/2018 18:35,0.07517
1/1/2018 18:40,0.072299
1/1/2018 18:45,0.07225
1/1/2018 18:50,0.07056
1/1/2018 18:55,0.07048
1/1/2018 19:00,0.06948
1/1/2018 19:05,0.072379
1/1/2018 19:10,0.07304
1/1/2018 19:15,0.0737
1/1/2018 19:20,0.071849
1/1/2018 19:25,0.071769
1/1/2018 19:30,0.07164
1/1/2018 19:35,0.071969
1/1/2018 19:40,0.07085
1/1/2018 19:45,0.07039
1/1/2018 19:50,0.07045
1/1/2018 19:55,0.069939
1/1/2018 20:00,0.07146
1/1/2018 20:05,0.071159
1/1/2018 20:10,0.07397
1/1/2018 20:15,0.069969
1/1/2018 20:20,0.06999
1/1/2018 20:25,0.079559
1/1/2018 20:30,0.077629
1/1/2018 20:35,0.076209
1/1/2018 20:40,0.07623
1/1/2018 20:45,0.07136
1/1/2018 20:50,0.06723
1/1/2018 20:55,0.07425
1/1/2018 21:00,0.072299
1/1/2018 21:05,0.07207
1/1/2018 21:10,0.07121
1/1/2018 21:15,0.071829
1/1/2018 21:20,0.069409
1/1/2018 21:25,0.065448
1/1/2018 21:30,0.063868
1/1/2018 21:35,0.063978
1/1/2018 21:40,0.06397
1/1/2018 21:45,0.059349
1/1/2018 21:50,0.06461
1/1/2018 21:55,0.06404
1/1/2018 22:00,0.06358
1/1/2018 22:05,0.06447
1/1/2018 22:10,0.064529
1/1/2018 22:15,0.06354
1/1/2018 22:20,0.06347
1/1/2018 22:25,0.06393
1/1/2018 22:30,0.06401
1/1/2018 22:35,0.06878
1/1/2018 22:40,0.06876
1/1/2018 22:45,0.0645
1/1/2018 22:50,0.064129
1/1/2018 22:55,0.06247
1/1/2018 23:00,0.06008
1/1/2018 23:05,0.06006
1/1/2018 23:10,0.05859
1/1/2018 23:15,0.05646
1/1/2018 23:20,0.05759
1/1/2018 23:25,0.05822
1/1/2018 23:30,0.05819
1/1/2018 23:35,0.05756
1/1/2018 23:40,0.05416
1/1/2018 23:45,0.05479
1/1/2018 23:50,0.0549
1/1/2018 23:55,0.05578
1/2/2018 0:00,0.05443
1/2/2018 0:05,0.05326
1/2/2018 0:10,0.0523
1/2/2018 0:15,0.05247
1/2/2018 0:20,0.05196
1/2/2018 0:25,0.05216
1/2/2018 0:30,0.05223
1/2/2018 0:35,0.05175
1/2/2018 0:40,0.05487
1/2/2018 0:45,0.05589
1/2/2018 0:50,0.05632
1/2/2018 0:55,0.05347
1/2/2018 1:00,0.05208
1/2/2018 1:05,0.0479
1/2/2018 1:10,0.04765
1/2/2018 1:15,0.04583
1/2/2018 1:20,0.04654
1/2/2018 1:25,0.04637
1/2/2018 1:30,0.04611
1/2/2018 1:35,0.04609
1/2/2018 1:40,0.04468
1/2/2018 1:45,0.04343
1/2/2018 1:50,0.04283
1/2/2018 1:55,0.04281
1/2/2018 2:00,0.04305
1/2/2018 2:05,0.04274
1/2/2018 2:10,0.0428
1/2/2018 2:15,0.04437
1/2/2018 2:20,0.04386
1/2/2018 2:25,0.04282
1/2/2018 2:30,0.0428
1/2/2018 2:35,0.04219
1/2/2018 2:40,0.04029
1/2/2018 2:45,0.04009
1/2/2018 2:50,0.04008
1/2/2018 2:55,0.04029
1/2/2018 3:00,0.04005
1/2/2018 3:05,0.04004
1/2/2018 3:10,0.0397
1/2/2018 3:15,0.0387
1/2/2018 3:20,0.03841
1/2/2018 3:25,0.03815
1/2/2018 3:30,0.03765
1/2/2018 3:35,0.03828
1/2/2018 3:40,0.03839
1/2/2018 3:45,0.03902
1/2/2018 3:50,0.03938
1/2/2018 3:55,0.04021
1/2/2018 4:00,0.03945
1/2/2018 4:05,0.03948
1/2/2018 4:10,0.04056
1/2/2018 4:15,0.04046
1/2/2018 4:20,0.03915
1/2/2018 4:25,0.03903
1/2/2018 4:30,0.03836
1/2/2018 4:35,0.0383
1/2/2018 4:40,0.03885
1/2/2018 4:45,0.03895
1/2/2018 4:50,0.03902
1/2/2018 4:55,0.03917
